Postcode,Speed cameras2014Number,Speed cameras2014Value ($),Speed cameras2015Number,Speed cameras2015Value ($),,,,,,,,
2590,97,25331,79,18305,,,,,,,,
2343,88,21653,91,23837,,,,,,,,
2422,159,38354,168,41873,,,,,,,,
2710,33,7221,26,8562,,,,,,,,
2464,211,43317,183,40204,,,,,,,,
2108,290,60925,289,65523,,,,,,,,
2231,195,55627,262,113763,,,,,,,,
2821,90,21168,86,17924,,,,,,,,
2720,77,20866,89,22114,,,,,,,,
2852,76,15327,89,17593,,,,,,,,
2105,248,54998,259,60510,,,,,,,,
2307,201,47641,200,47107,,,,,,,,
2463,185,36724,140,29013,,,,,,,,
2579,141,33020,134,32913,,,,,,,,
2175,217,59950,221,79718,,,,,,,,
2748,205,49234,206,57285,,,,,,,,
2700,49,10137,64,13722,,,,,,,,
2630,87,25454,111,26429,,,,,,,,
2370,88,18056,98,24575,,,,,,,,
2663,57,11631,68,13890,,,,,,,,
2621,72,20092,66,15877,,,,,,,,
2334,129,28238,110,25476,,,,,,,,
2420,122,27536,113,27173,,,,,,,,
2835,37,10582,64,15919,,,,,,,,
2783,161,33841,161,38409,,,,,,,,
2293,194,49163,158,40997,,,,,,,,
2778,140,34727,156,35333,,,,,,,,
2548,74,18121,79,18760,,,,,,,,
2306,167,44033,131,30274,,,,,,,,
2278,133,30795,117,28291,,,,,,,,
2292,161,39330,160,40991,,,,,,,,
2866,80,16484,111,21532,,,,,,,,
2666,52,14041,49,11838,,,,,,,,
2267,151,35010,139,31831,,,,,,,,
2829,64,13303,80,18096,,,,,,,,
2489,150,31413,108,23469,,,,,,,,
2877,69,15157,98,20407,,,,,,,,
2357,60,13452,70,14669,,,,,,,,
2083,177,38492,180,40671,,,,,,,,
2474,83,16328,92,22628,,,,,,,,
2622,92,20398,91,22170,,,,,,,,
2578,116,26093,99,22013,,,,,,,,
2423,125,29616,116,24874,,,,,,,,
2328,90,19951,64,15343,,,,,,,,
2388,53,14837,51,12675,,,,,,,,
2336,92,17725,86,18760,,,,,,,,
2627,81,19983,106,25422,,,,,,,,
2642,25,4679,27,5584,,,,,,,,
2832,44,10201,57,12135,,,,,,,,
2671,55,14411,47,10904,,,,,,,,
2810,51,10378,59,13152,,,,,,,,
2354,67,12676,50,11909,,,,,,,,
2804,61,15347,65,13978,,,,,,,,
2583,73,23835,69,17868,,,,,,,,
2294,138,39020,137,33691,,,,,,,,
2847,72,15581,110,22172,,,,,,,,
2338,81,18254,69,14290,,,,,,,,
2831,52,11332,52,11001,,,,,,,,
2827,50,10295,55,10580,,,,,,,,
2296,130,33435,112,29035,,,,,,,,
2455,93,17893,87,17905,,,,,,,,
2834,40,9033,51,21567,,,,,,,,
2646,21,4496,21,6314,,,,,,,,
2569,101,25566,93,26082,,,,,,,,
2775,121,26353,137,33411,,,,,,,,
2845,71,17876,83,17004,,,,,,,,
2358,45,10029,63,13073,,,,,,,,
2174,94,29523,144,39924,,,,,,,,
2453,63,14698,55,11938,,,,,,,,
2329,51,12907,54,13511,,,,,,,,
