,,,,,,,,,,,,,,,
,ES16/048 (FA#74) GIPA Speeding fines in 2014 and 2015 by postcode and age of penalty notice recipient,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,Notes:,,,,,,,,,,,,,,
,"1. Data includes penalties issued between 1-Jan-2014 and 31-Dec-2014, as at 23-Feb-2016, and may change retrospectively as further penalties are loaded.",,,,,,,,,,,,,,
,"2. As the person issued with the fine may have nominated another driver, 'Age' and 'Postcode' relate to the person named on the penalty notice at the date of this report.  'Age' is as at the time of the offence.  OSR is not always able to determine the age of drivers who hold an international licence. ",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,"3. Data regarding 'speed cameras' include all camera types (ie, fixed digital speed cameras, mobile cameras and red light/speed safety cameras).",,,,,,,,,,,,,,
,4. Data regarding 'Top 10 highest speeds recorded by speed cameras' does not include NSW Police issued speeding penalties.,,,,,,,,,,,,,,
,5. Data does not include penalties where the recipient does not have a NSW postcode.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,"1. Number and value of speeding fines issued by speed cameras and NSW Police, by postcode of recipient",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,Postcode,Speed cameras,,,,Police issued,,,,,,,,,
,,2014,,2015,,2014,,2015,,,,,,,
,,Number,Value ($),Number,Value ($),Number,Value ($),Number,Value ($),,,,,,
,2763," 2,534 "," 638,822 "," 2,742 "," 720,165 ", 786 ," 260,670 ", 802 ," 295,451 ",,,,,,
,2566," 2,584 "," 1,343,386 "," 2,359 "," 1,007,563 ", 972 ," 304,101 ", 855 ," 303,950 ",,,,,,
,2759," 2,474 "," 624,525 "," 2,478 "," 642,499 ", 805 ," 290,879 ", 880 ," 343,821 ",,,,,,
,2194," 3,035 "," 830,214 "," 2,949 "," 825,529 ", 319 ," 118,426 ", 318 ," 118,132 ",,,,,,
,2232," 2,554 "," 644,341 "," 2,502 "," 643,236 ", 693 ," 220,845 ", 666 ," 212,088 ",,,,,,
,2761," 2,339 "," 609,394 "," 2,550 "," 682,467 ", 719 ," 256,763 ", 805 ," 310,248 ",,,,,,
,2017," 2,730 "," 694,462 "," 3,106 "," 819,756 ", 269 ," 96,701 ", 304 ," 121,608 ",,,,,,
,2121," 2,725 "," 671,933 "," 2,885 "," 719,800 ", 364 ," 127,989 ", 362 ," 128,300 ",,,,,,
,2204," 2,890 "," 808,219 "," 2,662 "," 768,826 ", 321 ," 106,242 ", 317 ," 111,086 ",,,,,,
,2768," 2,441 "," 654,041 "," 2,635 "," 708,913 ", 558 ," 195,039 ", 556 ," 202,142 ",,,,,,
,2540," 1,756 "," 377,124 "," 1,558 "," 361,474 "," 1,495 "," 444,750 "," 1,333 "," 410,841 ",,,,,,
,2745," 2,205 "," 554,334 "," 2,220 "," 581,916 ", 783 ," 291,671 ", 918 ," 334,578 ",,,,,,
,2138," 2,519 "," 669,179 "," 2,889 "," 773,482 ", 336 ," 123,852 ", 301 ," 122,791 ",,,,,,
,2164," 2,500 "," 802,101 "," 2,592 "," 846,936 ", 448 ," 168,058 ", 501 ," 201,568 ",,,,,,
,2117," 2,418 "," 621,844 "," 2,780 "," 740,278 ", 405 ," 136,131 ", 380 ," 137,526 ",,,,,,
,2118," 2,507 "," 622,722 "," 2,639 "," 694,778 ", 410 ," 131,229 ", 403 ," 155,287 ",,,,,,
,2011," 2,631 "," 671,337 "," 2,702 "," 705,542 ", 272 ," 103,266 ", 235 ," 80,224 ",,,,,,
,2320," 1,457 "," 326,847 "," 1,344 "," 314,159 "," 1,672 "," 488,371 "," 1,360 "," 430,192 ",,,,,,
,2040," 2,662 "," 689,064 "," 2,590 "," 693,279 ", 294 ," 98,522 ", 281 ," 97,700 ",,,,,,
,2450," 1,407 "," 289,703 "," 1,306 "," 280,700 "," 1,442 "," 438,291 "," 1,607 "," 482,532 ",,,,,,
,2076," 2,368 "," 584,971 "," 2,493 "," 646,852 ", 403 ," 123,756 ", 379 ," 116,980 ",,,,,,
,2067," 2,430 "," 635,459 "," 2,649 "," 726,896 ", 261 ," 96,594 ", 246 ," 97,872 ",,,,,,
,2162," 2,261 "," 652,139 "," 2,351 "," 679,407 ", 452 ," 184,131 ", 511 ," 213,305 ",,,,,,
,2287," 1,687 "," 389,413 "," 1,663 "," 411,503 "," 1,127 "," 330,364 "," 1,096 "," 330,396 ",,,,,,
,2199," 2,202 "," 654,573 "," 2,484 "," 742,480 ", 424 ," 175,129 ", 461 ," 185,712 ",,,,,,
,2340," 1,016 "," 229,035 ", 973 ," 212,899 "," 1,777 "," 527,706 "," 1,792 "," 521,744 ",,,,,,
,2830, 725 ," 163,803 ", 931 ," 209,298 "," 2,098 "," 642,161 "," 1,780 "," 562,376 ",,,,,,
,2101," 2,433 "," 565,399 "," 2,499 "," 621,188 ", 315 ," 96,940 ", 271 ," 94,604 ",,,,,,
,2114," 2,345 "," 608,829 "," 2,563 "," 697,623 ", 315 ," 112,316 ", 294 ," 109,118 ",,,,,,
,2213," 2,093 "," 533,717 "," 2,241 "," 595,674 ", 552 ," 186,415 ", 618 ," 224,706 ",,,,,,
,2113," 2,344 "," 652,013 "," 2,582 "," 765,252 ", 237 ," 82,415 ", 247 ," 104,085 ",,,,,,
,2151," 2,269 "," 633,327 "," 2,427 "," 659,118 ", 338 ," 118,861 ", 351 ," 122,118 ",,,,,,
,2206," 2,310 "," 618,338 "," 2,319 "," 642,777 ", 367 ," 139,534 ", 343 ," 132,509 ",,,,,,
